Step,polynomial_neg-cft_noskewed - inner_product,polynomial_uft_noskewed - inner_product,polynomial_cft_noskewed - inner_product,sumdot_neg-cft_skewed - inner_product,sumdot_uft_skewed - inner_product,sumdot_cft_skewed - inner_product
0,-0.04019510302168780,-0.0029102247208356900,0.05478451191447680,0.02401031178305860,0.14249941636808200,0.4583256422774870
100,0.04541572683956470,0.013731298851780600,0.5746603959269120,0.00398733007023111,0.6758008030010390,0.5967904534190890
200,0.1796967833652160,0.17647229618160100,0.7594409921439370,0.001866430218797180,0.8057285728864370,0.5813416910823440
300,0.1864650189236270,0.1694840471027420,0.8135741273872550,0.0014955442456994200,0.8760451669804750,0.6222600598121060
400,0.1487195999652610,0.16693607397610300,0.8538072118535640,0.0614264237228781,0.8971179751679300,0.5693387549836190
500,0.18400026195740800,0.206957575501292,0.9476248063147070,0.04494747013086450,0.9235533447936180,0.6048311508493500
600,0.15348833263851700,0.1649190956959500,0.984500884078443,0.04111329576699060,0.9281989485025410,0.6162259562406690
700,0.15330023237038400,0.1600167526921720,0.8577148336917160,0.025058689469005900,0.9334230199456220,0.6320284283719960
800,0.18836080620531000,0.1946169603324960,0.9687673710286620,0.09751272649737080,0.9245365830138330,0.599262420553714
900,0.13875465214368900,0.18685235443990700,0.8092722045257690,0.023685586143983500,0.953569077886641,0.6168300891295080
1000,0.18305835366481900,0.1547933462425140,0.9625014336779710,0.04959958785912020,0.9320011870004240,0.6009515759069470
1100,0.19270051518105900,0.17566079780226600,0.9010942494496700,0.153142714407295,0.9388331528753040,0.6071197143755850
1200,0.1871011508628730,0.16892955111688900,0.9695817870087920,0.22990322434634400,0.9548012232407930,0.5568164228461680
1300,0.1830099310609510,0.20935144269606100,0.9561954783275720,0.2963588779675770,0.9638671083375810,0.606224890332669
1400,0.15654525411082400,0.19320440664887400,0.9302240451797840,0.242618449148722,0.930094763636589,0.5952714330051090
1500,0.16707755354582300,0.18274308915715700,0.9055224619805810,0.2828410890651870,0.9597779158502820,0.5977547448128460
1600,0.17894931766204500,0.22326978365890700,0.8898850181140010,0.2711585578508680,0.9611677434295420,0.5789760402403770
1700,0.20369808477698800,0.15964049444301100,0.9704683423042300,0.3114250794169490,0.9660902181640270,0.6129883327521380
1800,0.16655315743992100,0.17397964591509700,0.954451966099441,0.28482370427809700,0.9607835365459320,0.59208067462896
1900,0.20203400059836000,0.19030814443249300,0.8720705099403860,0.23227131296880500,0.9553780714049940,0.5913629372371360
2000,0.17024323338409900,0.18317823587858600,0.9385744296014310,0.2597107989131470,0.9663673397153620,0.5673042706912380
